"DayOfYear","DayOfYearOffset","Date","DayOfWeek","Week","Month","Running","RunShoe","RunRoute","RunningBucket","Music","GuitarPlayed","MusicBucket","Reading","BookRead","ReadingBucket","Finances","SpentOn","FinancesBucket","Mental","HeadacheReason","MentalBucket","Eating","AteWhere","EatingBucket","Episodes","Show","EpisodesBucket","Learning","Subject","LearningBucket"
318,319,2018-11-14,4,45,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
319,320,2018-11-15,5,45,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
320,321,2018-11-16,6,45,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
321,322,2018-11-17,7,45,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
322,323,2018-11-18,1,46,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
323,324,2018-11-19,2,46,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
324,325,2018-11-20,3,46,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
325,326,2018-11-21,4,46,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
326,327,2018-11-22,5,46,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
327,328,2018-11-23,6,46,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
328,329,2018-11-24,7,46,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
329,330,2018-11-25,1,47,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
330,331,2018-11-26,2,47,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
331,332,2018-11-27,3,47,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
332,333,2018-11-28,4,47,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
333,334,2018-11-29,5,47,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
334,335,2018-11-30,6,47,11,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
335,336,2018-12-01,7,47,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
336,337,2018-12-02,1,48,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
337,338,2018-12-03,2,48,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
338,339,2018-12-04,3,48,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
339,340,2018-12-05,4,48,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
340,341,2018-12-06,5,48,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
341,342,2018-12-07,6,48,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
342,343,2018-12-08,7,48,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
343,344,2018-12-09,1,49,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
344,345,2018-12-10,2,49,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
345,346,2018-12-11,3,49,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
346,347,2018-12-12,4,49,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
347,348,2018-12-13,5,49,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
348,349,2018-12-14,6,49,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
349,350,2018-12-15,7,49,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
350,351,2018-12-16,1,50,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
351,352,2018-12-17,2,50,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
352,353,2018-12-18,3,50,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
353,354,2018-12-19,4,50,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
354,355,2018-12-20,5,50,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
355,356,2018-12-21,6,50,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
356,357,2018-12-22,7,50,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
357,358,2018-12-23,1,51,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
358,359,2018-12-24,2,51,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
359,360,2018-12-25,3,51,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
360,361,2018-12-26,4,51,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
361,362,2018-12-27,5,51,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
362,363,2018-12-28,6,51,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
363,364,2018-12-29,7,51,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
364,365,2018-12-30,1,52,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
365,366,2018-12-31,2,52,12,0,NA,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,NA,6,0,"",6
